Table 1
Data Dictionary - Column Information,,,,
Column Name,Column Description,"Term, Acronym, or Code Definitions","Additional Notes 
(where applicable, include the  range of possible values, units of measure, how to interpret null/zero values, whether there are specific relationships between columns, and information on column source)",
Automobile Dealership - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Bank Branch - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Barracks- Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
College/University - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Convention Center - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Courthouse - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Data Center - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Data Center - UPS System Redundancy,"IT Energy is the amount of energy required by the server racks, storage silos, and other IT equipment in the Data Center. IT Energy is a measure of energy (i.e. kWh), it should not be reported as an instantaneous reading of electric demand.

IT Energy may be measured at any of 4 locations:
Uninterruptible Power Supply (UPS) Output (required for a score, in most cases)
Power Distribution Unit (PDU) Input
PDU Output
Server/Equipment Input
IT Energy meters permit readings for a user-determined time period (e.g. weekly, monthly, or quarterly). Monthly measurements are recommended, on schedule with utility readings, if possible.

In order to receive an ENERGY STAR score, the IT energy must be measured at the UPS Output. However, you may track IT energy at the other measurement locations for your own purposes. A measurement of IT Energy from the UPS Output is consistent with a Category 1 measurement of data center Power Usage Effectiveness (PUE), as recommended by EPA and other leading organizations. In the following circumstances only, EPA will permit alternate measurement approaches based on the IT configuration:
Data Centers that do not have a UPS are permitted to supply readings from the input to the PDU.
Data Centers for which more than 10% of the UPS load is directed to non-IT (e.g. mechanical) equipment are required to provide a reading that excludes the non-IT equipment. Two options are permitted:
If energy used by non-IT equipment is measured, then you can subtract the non-IT energy from the total UPS energy, and enter the remainder into your UPS Output Meter.
If energy used by non-IT equipment is not measured, then you can supply a reading from the input to the PDU that supports the IT equipment.",,,
Data Center - Cooling Equipment Redundancy,"Cooling Equipment Redundancy describes the redundant capacity of the cooling equipment in a Data Center. Redundant cooling equipment is typically required in a Data Center to have backup cooling in case of a cooling equipment failure (not a power outage). The specific level of redundancy will depend on your particular Data Center. Cooling Equipment Redundancy is not required, nor is it factored into any metrics

If there are multiple systems operating at different levels of redundancy, choose the option that applies to the majority of the data center cooling load.

If your property is in the design phase, use your best estimate for the intended conditions when the property is fully operational.",,,
Data Center - IT Energy Configuration,Data Center IT Energy Configuration describes how your IT load is powered and therefore will determine where you must measure IT Energy to earn an ENERGY STAR score for a Data Center. The preferred location of this measurement is at the output of the Uninterruptible Power Supply (UPS) meter.,,,
Data Center - Energy Estimates Applied,"Apply Data Center Energy Estimates is entered as either Yes or No.
Yes - Estimates for energy consumption will be applied for this data center. Estimates are applied to all data centers in Canada.
No - IT Energy is metered and entered in Portfolio Manager, and will be used to determine an ENERGY STAR score for this property.",,,
Data Center - UPS Output Meter (kWh),"IT Energy is the amount of energy required by the server racks, storage silos, and other IT equipment in the Data Center. IT Energy is a measure of energy (i.e. kWh), it should not be reported as an instantaneous reading of electric demand.

IT Energy may be measured at any of 4 locations:
Uninterruptible Power Supply (UPS) Output (required for a score, in most cases)
Power Distribution Unit (PDU) Input
PDU Output
Server/Equipment Input",,,
Data Center - PDU Input Meter (kWh),"IT Energy is the amount of energy required by the server racks, storage silos, and other IT equipment in the Data Center. IT Energy is a measure of energy (i.e. kWh), it should not be reported as an instantaneous reading of electric demand.

IT Energy may be measured at any of 4 locations:
Uninterruptible Power Supply (UPS) Output (required for a score, in most cases)
Power Distribution Unit (PDU) Input
PDU Output
Server/Equipment Input",,,
Data Center - PDU Output Meter (kWh),"IT Energy is the amount of energy required by the server racks, storage silos, and other IT equipment in the Data Center. IT Energy is a measure of energy (i.e. kWh), it should not be reported as an instantaneous reading of electric demand.

IT Energy may be measured at any of 4 locations:
Uninterruptible Power Supply (UPS) Output (required for a score, in most cases)
Power Distribution Unit (PDU) Input
PDU Output
Server/Equipment Input",,,
Data Center - IT Equipment Input Meter (kWh),"IT Energy is the amount of energy required by the server racks, storage silos, and other IT equipment in the Data Center. IT Energy is a measure of energy (i.e. kWh), it should not be reported as an instantaneous reading of electric demand.

IT Energy may be measured at any of 4 locations:
Uninterruptible Power Supply (UPS) Output (required for a score, in most cases)
Power Distribution Unit (PDU) Input
PDU Output
Server/Equipment Input",,,
Data Center - IT Site Energy (kWh),"IT Energy meters permit readings for a user-determined time period (e.g. weekly, monthly, or quarterly). Monthly measurements are recommended, on schedule with utility readings, if possible.",,,
Data Center - IT Source Energy (kBtu),"IT Energy meters permit readings for a user-determined time period (e.g. weekly, monthly, or quarterly). Monthly measurements are recommended, on schedule with utility readings, if possible.",,,
Data Center - PUE,"Data Center Power Usage Effectiveness (PUE) is a measure of Data Center infrastructure efficiency, representing the amount of energy that is needed per unit delivered to IT equipment. It is computed as the total annual source energy divided by the annual IT source energy. A typical PUE value is about 2.0, which indicates that for every kWh that is delivered to IT equipment, an additional kWh is required for cooling, power supply, and infrastructure. PUE is the basis of the ENERGY STAR performance scale for Data Centers. PUE is only available for Stand-alone Data Centers (where the only Property Type is Data Center).",,,
Data Center - National Median PUE,"Data Center Power Usage Effectiveness (PUE) is a measure of Data Center infrastructure efficiency, representing the amount of energy that is needed per unit delivered to IT equipment. It is computed as the total annual source energy divided by the annual IT source energy. A typical PUE value is about 2.0, which indicates that for every kWh that is delivered to IT equipment, an additional kWh is required for cooling, power supply, and infrastructure. PUE is the basis of the ENERGY STAR performance scale for Data Centers. PUE is only available for Stand-alone Data Centers (where the only Property Type is Data Center).",,,
Distribution Center - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Enclosed Mall - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Energy/Power Station - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Financial Office - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Financial Office - Number of Computers,"The Number of Computers is the total number of desktop computers, laptops, Chromebooks/netbooks, and data servers at the property. This number should not include tablet computers, such as iPads, or any other types of office equipment.

If your property is in the design phase, use your best estimate for the intended conditions when the property is fully operational.

In addition, please note these specific property type considerations:
K-12 School – The count should only reflect computers that are owned by and charged at the school. It should not include any computers that are brought onsite by students or staff, or any computers regularly brought home by students.
Senior Living Community – The count should reflect computers used in administrative areas, computers in common areas available for residents and visitors, and wall-mounted computers in resident units for medical purposes. This count should not include any computers owned by residents that may be present in individual apartments or rooms. This is a count of computers only and should not include other electronic or medical equipment.",,,
Financial Office - Weekly Operating Hours,"The Weekly Operating Hours is different depending on your property type:
Office, Financial Office, Warehouse and Distribution Center. Your Weekly Operating Hours are the total number of hours per week where the majority of workers are present. For example, if the majority of workers are in your building from 8:00 am - 6:00 pm M-F, then your Weekly operating hours should be 50 (10 hrs * 5 days per week).
If you have two or more tenants with hours that differ by more than 10%, then you should enter two separate Property Uses so that you can track them separately.
If you have two or more tenants with hours that differ by less than 10%, use the largest tenant’s hours (based on Gross Floor Area).
If your hours vary seasonally (ex: 1/2 day Fridays in the summer), use the schedule that is followed most often.
If you have 2 shifts of workers, add the hours for both shifts.
Do NOT count these hours:
When the property is occupied only by maintenance, security, the cleaning crew, or other support personnel.
HVAC startup or shutdown time
Properties that serve the Public (retail stores, medical office, bank branch, courthouse, library, health club, etc). Your Weekly Operating Hours should be the hours that you are open to the public.
Worship Facility. Your Weekly Operating Hours should reflect hours when the facility is typically open for operation, which may include worship services, choir practice, administrative use, committee meetings, classes, or other activities.",,,
Financial Office - Number of Workers on Main Shift,"The Number of Workers on Main Shift should reflect the total number of workers present during the primary shift. This is not a total count of workers, but rather a count of workers who are present at the same time. For example, if there are two daily eight hour shifts of 100 workers each, the Number of Workers on Main Shift value is 100. Number of Workers on Main Shift may include employees of the property, sub-contractors who are onsite regularly, and volunteers who perform regular onsite tasks. Number of Workers should not include visitors to the buildings such as clients, customers, or patients.

",,,
Fitness Center/Health Club/Gym - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Food Sales - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Food Service - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Hospital (General Medical & Surgical)- Full Time Equivalent (FTE) Workers,"The Number of Full Time Equivalent Workers should be computed as the total number of hours worked by all workers in a week divided by the standard hours worked by one full time worker in a week. Workers may include employees of the property, sub-contractors who are onsite regularly, and volunteers who perform regular onsite tasks to support facility operation. Workers should not include visitors to the property such as clients, customers, patients or spectators.

",,,
